resultId,raceId,driverId,constructorId,number_x,grid,position_x,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,qualifyId,number_y,position_y,q1,q2,q3
1,18,1,1,22.0,1,1.0,1,1,10.0,58,34:50.6,5690616.0,39.0,2.0,01:27.5,218.3,1,1,22,1,1:26.572,1:25.187,1:26.714
2,18,2,2,3.0,5,2.0,2,2,8.0,58,5.478,5696094.0,41.0,3.0,01:27.7,217.586,1,5,3,5,1:25.960,1:25.518,1:27.236
3,18,3,3,7.0,7,3.0,3,3,6.0,58,8.163,5698779.0,41.0,5.0,01:28.1,216.719,1,7,7,7,1:26.295,1:26.059,1:28.687
4,18,4,4,5.0,11,4.0,4,4,5.0,58,17.181,5707797.0,58.0,7.0,01:28.6,215.464,1,12,5,12,1:26.907,1:26.188,
5,18,5,1,23.0,3,5.0,5,5,4.0,58,18.014,5708630.0,43.0,1.0,01:27.4,218.385,1,3,23,3,1:25.664,1:25.452,1:27.079
6,18,6,3,8.0,13,6.0,6,6,3.0,57,,,50.0,14.0,01:29.6,212.974,11,14,8,14,1:26.891,1:26.413,
7,18,7,5,14.0,17,7.0,7,7,2.0,55,,,22.0,12.0,01:29.5,213.224,5,18,14,18,1:27.446,,
8,18,8,6,1.0,15,8.0,8,8,1.0,53,,,20.0,4.0,01:27.9,217.18,5,16,1,16,1:26.140,,
9,18,9,2,4.0,2,,R,9,0.0,47,,,15.0,9.0,01:28.8,215.1,4,2,4,2,1:26.103,1:25.315,1:26.869
10,18,10,7,12.0,18,,R,10,0.0,43,,,23.0,13.0,01:29.6,213.166,3,9,12,9,1:26.919,1:26.164,1:29.593
11,18,11,8,18.0,19,,R,11,0.0,32,,,24.0,15.0,01:30.9,210.038,7,20,18,20,1:28.208,,
12,18,12,4,6.0,20,,R,12,0.0,30,,,20.0,16.0,01:31.4,208.907,8,21,6,21,1:28.330,,
13,18,13,6,2.0,4,,R,13,0.0,29,,,23.0,6.0,01:28.2,216.51,5,4,2,4,1:25.994,1:25.691,1:27.178
14,18,14,9,9.0,8,,R,14,0.0,25,,,21.0,11.0,01:29.5,213.3,4,8,9,8,1:26.381,1:26.063,1:29.041
15,18,15,7,11.0,6,,R,15,0.0,19,,,18.0,10.0,01:29.3,213.758,10,6,11,6,1:26.427,1:26.101,1:28.527
16,18,16,10,20.0,22,,R,16,0.0,8,,,8.0,17.0,01:32.0,207.461,9,19,20,19,1:27.859,,
17,18,17,9,10.0,14,,R,17,0.0,0,,,,,,,4,15,10,15,1:26.914,,
18,18,18,11,16.0,12,,R,18,0.0,0,,,,,,,4,13,16,13,1:26.712,1:26.259,
19,18,19,8,19.0,21,,R,19,0.0,0,,,,,,,4,22,19,22,1:29.059,,
20,18,20,5,15.0,9,,R,20,0.0,0,,,,,,,4,10,15,10,1:26.702,1:25.842,
21,18,21,10,21.0,16,,R,21,0.0,0,,,,,,,4,17,21,17,1:27.207,,
22,18,22,11,17.0,10,,D,22,0.0,58,,,44.0,8.0,01:28.7,215.141,2,11,17,11,1:26.369,1:26.173,
23,19,8,6,1.0,2,1.0,1,1,10.0,56,31:18.6,5478555.0,37.0,2.0,01:35.4,209.158,1,24,1,2,1:35.645,1:34.188,1:36.230
24,19,9,2,4.0,4,2.0,2,2,8.0,56,19.57,5498125.0,39.0,6.0,01:35.9,208.033,1,28,4,6,1:35.794,1:34.811,1:36.727
25,19,5,1,23.0,8,3.0,3,3,6.0,56,38.45,5517005.0,19.0,7.0,01:35.9,208.031,1,25,23,3,1:35.227,1:34.759,1:36.613
26,19,15,7,11.0,3,4.0,4,4,5.0,56,45.832,5524387.0,53.0,8.0,01:36.1,207.715,1,27,11,5,1:35.205,1:34.960,1:36.711
27,19,1,1,22.0,9,5.0,5,5,4.0,56,46.548,5525103.0,53.0,3.0,01:35.5,209.033,1,26,22,4,1:35.392,1:34.627,1:36.709
28,19,2,2,3.0,5,6.0,6,6,3.0,56,49.833,5528388.0,55.0,1.0,01:35.4,209.244,1,29,3,7,1:35.729,1:34.648,1:36.753
29,19,17,9,10.0,6,7.0,7,7,2.0,56,+1:08.130,5546685.0,53.0,12.0,01:36.7,206.366,1,30,10,8,1:35.440,1:34.967,1:37.009
30,19,4,4,5.0,7,8.0,8,8,1.0,56,+1:10.041,5548596.0,40.0,10.0,01:36.3,207.24,1,31,5,9,1:35.983,1:35.140,1:38.450
31,19,14,9,9.0,12,9.0,9,9,0.0,56,+1:16.220,5554775.0,55.0,9.0,01:36.2,207.417,1,34,9,12,1:36.058,1:35.408,
32,19,18,11,16.0,11,10.0,10,10,0.0,56,+1:26.214,5564769.0,56.0,4.0,01:35.7,208.481,1,33,16,11,1:35.847,1:35.208,
