qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
7540,1010,1,131,44,1,1:22.043,1:21.014,1:20.486
7541,1010,822,131,77,2,1:22.367,1:21.193,1:20.598
7542,1010,20,6,5,3,1:22.885,1:21.912,1:21.190
7543,1010,830,9,33,4,1:22.876,1:21.678,1:21.320
7544,1010,844,6,16,5,1:22.017,1:21.739,1:21.442
7545,1010,154,210,8,6,1:22.959,1:21.870,1:21.826
7546,1010,825,210,20,7,1:22.519,1:22.221,1:22.099
7547,1010,845,1,4,8,1:22.702,1:22.423,1:22.304
7548,1010,8,51,7,9,1:22.966,1:22.349,1:22.314
7549,1010,815,211,11,10,1:22.908,1:22.532,1:22.781
